sentiment_label,sentiment_score,sentiment_polarity,fatigue_total,fatigue_word_density,fatigue_physical,fatigue_mental,fatigue_schedule,fatigue_injury,fatigue_motivation,avg_sentence_len,type_token_ratio,first_person_rate,negation_rate,word_count,llm_fatigue_label,llm_fatigue_confidence,llm_reason,nlp_processed
NEGATIVE,0.8624703884124756,-0.8625,2,1.9231,2,0,0,0,0,12.88,0.6893,0.0485,0.0,103,,,,1
POSITIVE,0.3026823401451111,0.3027,6,0.5964,0,2,0,0,4,13.85,0.3347,0.0814,0.0122,983,,,,1
POSITIVE,0.9922605454921722,0.9923,5,0.283,1,0,0,3,1,11.29,0.2542,0.0983,0.0098,1739,,,,1
POSITIVE,0.9960947434107462,0.9961,3,0.2997,1,0,1,0,1,17.75,0.336,0.0453,0.005,994,,,,1
POSITIVE,0.7749093174934387,0.7749,1,0.0752,1,0,0,0,0,13.97,0.2728,0.0799,0.0075,1327,,,,1
NEGATIVE,0.994965672492981,-0.995,0,0.0,0,0,0,0,0,9.54,0.3899,0.0713,0.0252,477,,,,1
POSITIVE,0.9441843628883362,0.9442,0,0.0,0,0,0,0,0,10.61,0.342,0.0813,0.0148,541,,,,1
POSITIVE,0.8807562589645386,0.8808,0,0.0,0,0,0,0,0,14.72,0.2688,0.0295,0.0066,1354,,,,1
POSITIVE,0.9983150064945221,0.9983,4,0.2514,0,0,0,0,4,13.39,0.2665,0.0595,0.0044,1580,,,,1
POSITIVE,0.04105710983276367,0.0411,1,0.1414,0,0,0,0,1,9.35,0.341,0.0997,0.0101,692,,,,1
POSITIVE,0.9895841181278229,0.9896,1,0.0444,0,0,0,0,1,10.47,0.2209,0.0754,0.0054,2241,,,,1
POSITIVE,0.3494798143704732,0.3495,3,0.2838,0,0,0,0,3,15.33,0.2713,0.0463,0.0246,1058,,,,1
POSITIVE,0.009636521339416504,0.0096,1,0.1305,0,0,0,0,1,17.53,0.3196,0.0464,0.0133,754,,,,1
POSITIVE,0.9765611886978149,0.9766,0,0.0,0,0,0,0,0,16.83,0.6931,0.0396,0.0099,101,,,,1
